merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
-0.24,-0.172,-0.114,-0.24100000000000002,-0.317
-0.24,-0.174,-0.11599999999999999,-0.242,-0.316
-0.239,-0.17800000000000002,-0.114,-0.24,-0.317
-0.242,-0.18100000000000002,-0.11699999999999999,-0.24,-0.327
-0.24600000000000002,-0.185,-0.124,-0.247,-0.335
-0.252,-0.19399999999999998,-0.136,-0.254,-0.34
-0.256,-0.19899999999999998,-0.141,-0.256,-0.35100000000000003
-0.263,-0.20600000000000002,-0.147,-0.259,-0.365
-0.26899999999999996,-0.21100000000000002,-0.154,-0.258,-0.379
-0.27399999999999997,-0.215,-0.158,-0.257,-0.391
-0.273,-0.214,-0.158,-0.255,-0.39299999999999996
-0.27,-0.21100000000000002,-0.153,-0.251,-0.392
-0.26899999999999996,-0.21,-0.149,-0.24600000000000002,-0.39299999999999996
-0.267,-0.207,-0.14800000000000002,-0.242,-0.391
-0.266,-0.207,-0.146,-0.24100000000000002,-0.392
-0.268,-0.209,-0.146,-0.247,-0.39299999999999996
-0.27399999999999997,-0.21600000000000003,-0.153,-0.255,-0.396
-0.275,-0.218,-0.152,-0.254,-0.396
-0.27399999999999997,-0.217,-0.154,-0.254,-0.39299999999999996
-0.272,-0.213,-0.155,-0.253,-0.391
-0.268,-0.209,-0.151,-0.251,-0.386
-0.259,-0.198,-0.146,-0.242,-0.377
-0.251,-0.192,-0.145,-0.233,-0.37
-0.24100000000000002,-0.18,-0.138,-0.222,-0.363
-0.235,-0.174,-0.135,-0.218,-0.358
-0.235,-0.174,-0.134,-0.217,-0.358
-0.23399999999999999,-0.17300000000000001,-0.13699999999999998,-0.215,-0.35700000000000004
-0.235,-0.175,-0.141,-0.21600000000000003,-0.35700000000000004
-0.235,-0.177,-0.14,-0.217,-0.359
-0.23399999999999999,-0.17600000000000002,-0.138,-0.215,-0.358
-0.23199999999999998,-0.17600000000000002,-0.136,-0.214,-0.35700000000000004
-0.23199999999999998,-0.175,-0.135,-0.214,-0.358
-0.23,-0.17300000000000001,-0.136,-0.214,-0.358
-0.23,-0.17300000000000001,-0.134,-0.214,-0.358
-0.22899999999999998,-0.174,-0.132,-0.21600000000000003,-0.358
-0.23,-0.17600000000000002,-0.134,-0.21600000000000003,-0.359
-0.231,-0.179,-0.132,-0.22,-0.359
-0.257,-0.20199999999999999,-0.184,-0.27699999999999997,-0.36200000000000004
-0.188,-0.14800000000000002,-0.0369,-0.0953,-0.35200000000000004
-0.21100000000000002,-0.16399999999999998,-0.0834,-0.175,-0.358
-0.228,-0.17600000000000002,-0.126,-0.223,-0.358
-0.22899999999999998,-0.177,-0.122,-0.223,-0.358
-0.231,-0.179,-0.12300000000000001,-0.22899999999999998,-0.359
-0.233,-0.18,-0.121,-0.231,-0.36200000000000004
-0.235,-0.183,-0.11699999999999999,-0.23399999999999999,-0.363
-0.23600000000000002,-0.185,-0.115,-0.23600000000000002,-0.364
-0.235,-0.185,-0.111,-0.237,-0.364
-0.239,-0.18899999999999997,-0.10800000000000001,-0.237,-0.366
-0.239,-0.18899999999999997,-0.102,-0.237,-0.36700000000000005
